episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,568,194.5506,63.0,568,0.995,0.0,0.0,0.0,0.0
2,1769,-4502.0649,11.0,1201,0.990025,0.0,0.0,0.0,0.0
3,2168,-15.499,39.0,399,0.985075,44.50858,0.0,0.0,0.0
4,2652,-474.7979,0.0,484,0.98015,38.938678,0.0,0.0,0.0
5,3337,-158.3437,30.0,685,0.975249,32.123973,0.0,0.0,0.0
6,3575,-219.7004,0.0,238,0.970373,23.356545,0.0,0.0,0.0
7,4232,-1361.9225,2.0,657,0.965521,28.330892,0.0,0.0,0.0
8,4504,-149.1486,1.0,272,0.960693,21.84023,0.0,0.0,0.0
9,5072,-649.5678,6.0,568,0.95589,27.811196,0.0,0.0,0.0
10,5457,-34.3042,15.0,385,0.95111,28.900252,0.0,0.0,0.0
11,6044,-259.3496,14.0,587,0.946355,25.032669,0.0,0.0,0.0
12,6576,-26.4423,19.0,532,0.941623,25.978762,0.0,0.0,0.0
13,7777,105.2658,28.0,1201,0.936915,28.128343,0.0,0.0,0.0
14,7962,-40.6246,7.0,185,0.93223,26.282009,0.0,0.0,0.0
15,8524,-425.4438,6.0,562,0.927569,25.76291,0.0,0.0,0.0
16,8842,172.4581,17.0,318,0.922931,30.07961,0.0,0.0,0.0
17,9143,51.7797,18.0,301,0.918316,24.209426,0.0,0.0,0.0
18,9333,58.5955,7.0,190,0.913725,24.110548,0.0,0.0,0.0
19,9448,-62.5518,5.0,115,0.909156,26.129335,0.0,0.0,0.0
20,9745,188.4595,24.0,297,0.90461,18.178197,0.0,0.0,0.0
21,9843,-26.9973,8.0,98,0.900087,18.783018,0.0,0.0,0.0
22,9987,21.7524,17.0,144,0.895587,20.972218,0.0,0.0,0.0
23,10478,-318.8822,6.0,491,0.891109,26.084472,0.0,0.0,0.0
24,10613,13.0746,11.0,135,0.886654,26.511865,0.0,0.0,0.0
25,10779,43.2672,17.0,166,0.88222,32.896269,-56.7617,4.0,75.4
26,11824,-839.1812,9.0,1045,0.877809,25.057263,0.0,0.0,0.0
27,12710,-490.5571,11.0,886,0.87342,25.201196,0.0,0.0,0.0
28,13089,25.8277,28.0,379,0.869053,21.938505,0.0,0.0,0.0
29,13661,-33.1962,27.0,572,0.864708,30.614878,0.0,0.0,0.0
